"","gene","cluster","external_gene_name"
"2709","ENSMUSG00000032640",1,"Chsy1"
"2710","ENSMUSG00000032643",1,"Fhl3"
"2711","ENSMUSG00000032691",1,"Nlrp3"
"2712","ENSMUSG00000032698",1,"Lmo2"
"2713","ENSMUSG00000032702",1,"Kank1"
"2714","ENSMUSG00000032714",1,"Syde1"
"2715","ENSMUSG00000032715",1,"Trib3"
"2716","ENSMUSG00000032724",1,"Abtb2"
"2717","ENSMUSG00000032727",1,"Mier3"
"2718","ENSMUSG00000032733",1,"Snx33"
"2719","ENSMUSG00000032735",1,"Ablim3"
"2720","ENSMUSG00000032745",1,"Gpbp1"
"2721","ENSMUSG00000032757",1,"Bet1"
"2722","ENSMUSG00000032788",1,"Pdxk"
"2723","ENSMUSG00000032796",1,"Lama1"
"2724","ENSMUSG00000032802",1,"Srxn1"
"2725","ENSMUSG00000032803",1,"Cdv3"
"2726","ENSMUSG00000032806",1,"Slc10a3"
"2727","ENSMUSG00000032834",1,"Pwp2"
"2728","ENSMUSG00000032839",1,"Trpc1"
"2729","ENSMUSG00000032840",1,"Spring1"
"2730","ENSMUSG00000032846",1,"Zswim6"
"2731","ENSMUSG00000032849",1,"Abcc4"
"2732","ENSMUSG00000032860",1,"P2ry2"
"2733","ENSMUSG00000032872",1,"Cyb5r4"
"2734","ENSMUSG00000032892",1,"Rangrf"
"2735","ENSMUSG00000032905",1,"Atg12"
"2736","ENSMUSG00000032908",1,"Sgpp2"
"2737","ENSMUSG00000032911",1,"Cspg4"
"2738","ENSMUSG00000032932",1,"Hspa13"
"2739","ENSMUSG00000032939",1,"Nup93"
"2740","ENSMUSG00000032966",1,"Fkbp1a"
"2741","ENSMUSG00000032977",1,"Fam207a"
"2742","ENSMUSG00000032978",1,"Guca2b"
"2743","ENSMUSG00000032998",1,"Foxj3"
"2744","ENSMUSG00000033007",1,"Asic4"
"2745","ENSMUSG00000033009",1,"Ogfod1"
"2746","ENSMUSG00000033021",1,"Gmppa"
"2747","ENSMUSG00000033022",1,"Cdo1"
"2748","ENSMUSG00000033039",1,"Micall1"
"2749","ENSMUSG00000033047",1,"Eif3l"
"2750","ENSMUSG00000033054",1,"Npat"
"2751","ENSMUSG00000033088",1,"Triobp"
"2752","ENSMUSG00000033096",1,"Apmap"
"2753","ENSMUSG00000033099",1,"Nol12"
"2754","ENSMUSG00000033105",1,"Lss"
"2755","ENSMUSG00000033106",1,"Slc7a6os"
"2756","ENSMUSG00000033107",1,"Rnf125"
"2757","ENSMUSG00000033128",1,"Gga1"
"2758","ENSMUSG00000033166",1,"Dis3"
"2759","ENSMUSG00000033170",1,"Card10"
"2760","ENSMUSG00000033182",1,"Kbtbd12"
"2761","ENSMUSG00000033184",1,"Tmed7"
"2762","ENSMUSG00000033186",1,"Mzt1"
"2763","ENSMUSG00000033213",1,"AA467197"
"2764","ENSMUSG00000033228",1,"Scaf11"
"2765","ENSMUSG00000033257",1,"Ttll4"
"2766","ENSMUSG00000033272",1,"Slc35a4"
"2767","ENSMUSG00000033278",1,"Ptprm"
"2768","ENSMUSG00000033285",1,"Wdr3"
"2769","ENSMUSG00000033294",1,"Noc4l"
"2770","ENSMUSG00000033319",1,"Fem1c"
"2771","ENSMUSG00000033323",1,"Ctdp1"
"2772","ENSMUSG00000033326",1,"Kdm4a"
"2773","ENSMUSG00000033356",1,"Pus7l"
"2774","ENSMUSG00000033373",1,"Fntb"
"2775","ENSMUSG00000033379",1,"Atp6v0b"
"2776","ENSMUSG00000033386",1,"Frrs1"
"2777","ENSMUSG00000033411",1,"Ctdspl2"
"2778","ENSMUSG00000033417",1,"Cacul1"
"2779","ENSMUSG00000033427",1,"Upb1"
"2780","ENSMUSG00000033434",1,"Gtpbp6"
"2781","ENSMUSG00000033436",1,"Armcx2"
"2782","ENSMUSG00000033439",1,"Trmt13"
"2783","ENSMUSG00000033446",1,"Lpar6"
"2784","ENSMUSG00000033454",1,"Zbtb1"
"2785","ENSMUSG00000033467",1,"Crlf2"
"2786","ENSMUSG00000033487",1,"Fndc3a"
"2787","ENSMUSG00000033499",1,"Larp4b"
"2788","ENSMUSG00000033508",1,"Asprv1"
"2789","ENSMUSG00000033510",1,"Otud7a"
"2790","ENSMUSG00000033530",1,"Ttc7b"
"2791","ENSMUSG00000033538",1,"Casp4"
"2792","ENSMUSG00000033542",1,"Arhgef5"
"2793","ENSMUSG00000033545",1,"Znrf1"
"2794","ENSMUSG00000033554",1,"Dph5"
"2795","ENSMUSG00000033565",1,"Rbfox2"
"2796","ENSMUSG00000033569",1,"Adgrb3"
"2797","ENSMUSG00000033579",1,"Fa2h"
"2798","ENSMUSG00000033581",1,"Igf2bp2"
"2799","ENSMUSG00000033589",1,"Reep4"
"2800","ENSMUSG00000033596",1,"Rfwd3"
"2801","ENSMUSG00000033615",1,"Cplx1"
"2802","ENSMUSG00000033644",1,"Piwil2"
"2803","ENSMUSG00000033669",1,"Zfp7"
"2804","ENSMUSG00000033697",1,"Arhgap39"
"2805","ENSMUSG00000033701",1,"Acbd6"
"2806","ENSMUSG00000033706",1,"Smyd5"
"2807","ENSMUSG00000033721",1,"Vav3"
"2808","ENSMUSG00000033730",1,"Egr3"
"2809","ENSMUSG00000033732",1,"Sf3b3"
"2810","ENSMUSG00000033762",1,"Recql4"
"2811","ENSMUSG00000033792",1,"Atp7a"
"2812","ENSMUSG00000033793",1,"Atp6v1h"
"2813","ENSMUSG00000033799",1,"Tasor2"
"2814","ENSMUSG00000033808",1,"Tmem87a"
"2815","ENSMUSG00000033809",1,"Alg3"
"2816","ENSMUSG00000033813",1,"Tcea1"
"2817","ENSMUSG00000033845",1,"Mrpl15"
"2818","ENSMUSG00000033857",1,"Engase"
"2819","ENSMUSG00000033863",1,"Klf9"
"2820","ENSMUSG00000033882",1,"Rbm46"
"2821","ENSMUSG00000033900",1,"Map9"
"2822","ENSMUSG00000033909",1,"Usp36"
"2823","ENSMUSG00000033918",1,"Parl"
"2824","ENSMUSG00000033931",1,"Rbm34"
"2825","ENSMUSG00000033943",1,"Mga"
"2826","ENSMUSG00000033967",1,"Rnf225"
"2827","ENSMUSG00000033991",1,"Ttc37"
"2828","ENSMUSG00000034006",1,"Slc66a2"
"2829","ENSMUSG00000034024",1,"Cct2"
"2830","ENSMUSG00000034075",1,"Zdhhc5"
"2831","ENSMUSG00000034083",1,"Ccdc174"
"2832","ENSMUSG00000034088",1,"Hdlbp"
"2833","ENSMUSG00000034117",1,"Ptgdr2"
"2834","ENSMUSG00000034118",1,"Tpst1"
"2835","ENSMUSG00000034120",1,"Srsf2"
"2836","ENSMUSG00000034135",1,"Sik3"
"2837","ENSMUSG00000034154",1,"Ino80"
"2838","ENSMUSG00000034163",1,"Zfc3h1"
"2839","ENSMUSG00000034173",1,"Zbed5"
"2840","ENSMUSG00000034203",1,"Chchd4"
"2841","ENSMUSG00000034210",1,"Efcab14"
"2842","ENSMUSG00000034211",1,"Mrps17"
"2843","ENSMUSG00000034216",1,"Vps18"
"2844","ENSMUSG00000034218",1,"Atm"
"2845","ENSMUSG00000034220",1,"Gpc1"
"2846","ENSMUSG00000034243",1,"Golgb1"
"2847","ENSMUSG00000034247",1,"Plekhm1"
"2848","ENSMUSG00000034248",1,"Slc25a37"
"2849","ENSMUSG00000034252",1,"Senp6"
"2850","ENSMUSG00000034259",1,"Exosc4"
"2851","ENSMUSG00000034263",1,"Ints14"
"2852","ENSMUSG00000034265",1,"Zdhhc14"
"2853","ENSMUSG00000034269",1,"Setd5"
"2854","ENSMUSG00000034271",1,"Jdp2"
"2855","ENSMUSG00000034274",1,"Thoc5"
"2856","ENSMUSG00000034275",1,"Igsf9b"
"2857","ENSMUSG00000034297",1,"Med13"
"2858","ENSMUSG00000034320",1,"Slc26a2"
"2859","ENSMUSG00000034321",1,"Exosc1"
"2860","ENSMUSG00000034327",1,"Kctd9"
"2861","ENSMUSG00000034330",1,"Plcg2"
"2862","ENSMUSG00000034342",1,"Cbl"
"2863","ENSMUSG00000034343",1,"Ube2f"
"2864","ENSMUSG00000034354",1,"Mtmr3"
"2865","ENSMUSG00000034377",1,"Tulp4"
"2866","ENSMUSG00000034394",1,"Lif"
"2867","ENSMUSG00000034412",1,"Tbc1d10a"
"2868","ENSMUSG00000034432",1,"Cops8"
"2869","ENSMUSG00000034437",1,"Gm9761"
"2870","ENSMUSG00000034449",1,"Dhrs11"
"2871","ENSMUSG00000034453",1,"Polr3b"
"2872","ENSMUSG00000034457",1,"Eda2r"
"2873","ENSMUSG00000034459",1,"Ifit1"
"2874","ENSMUSG00000034462",1,"Pkd2"
"2875","ENSMUSG00000034472",1,"Rasd2"
"2876","ENSMUSG00000034480",1,"Diaph2"
"2877","ENSMUSG00000034488",1,"Edil3"
"2878","ENSMUSG00000034525",1,"Ice1"
"2879","ENSMUSG00000034543",1,"Morc2a"
"2880","ENSMUSG00000034557",1,"Zfyve9"
"2881","ENSMUSG00000034560",1,"Washc4"
"2882","ENSMUSG00000034574",1,"Daam1"
"2883","ENSMUSG00000034575",1,"Tent4a"
"2884","ENSMUSG00000034586",1,"Hid1"
"2885","ENSMUSG00000034591",1,"Slc41a2"
"2886","ENSMUSG00000034593",1,"Myo5a"
"2887","ENSMUSG00000034595",1,"Ppp1r18"
"2888","ENSMUSG00000034602",1,"Mon2"
"2889","ENSMUSG00000034610",1,"Tut4"
"2890","ENSMUSG00000034612",1,"Chst11"
"2891","ENSMUSG00000034613",1,"Ppm1h"
"2892","ENSMUSG00000034617",1,"Mtrr"
"2893","ENSMUSG00000034620",1,"Rxylt1"
"2894","ENSMUSG00000034636",1,"Zyg11b"
"2895","ENSMUSG00000034640",1,"Tiparp"
"2896","ENSMUSG00000034653",1,"Ythdc2"
"2897","ENSMUSG00000034663",1,"Bmp2k"
"2898","ENSMUSG00000034667",1,"Xpot"
"2899","ENSMUSG00000034674",1,"Tdg"
"2900","ENSMUSG00000034681",1,"Rnps1"
"2901","ENSMUSG00000034714",1,"Ttyh2"
"2902","ENSMUSG00000034729",1,"Mrps10"
"2903","ENSMUSG00000034731",1,"Dgkh"
"2904","ENSMUSG00000034738",1,"Nostrin"
"2905","ENSMUSG00000034751",1,"Mast4"
"2906","ENSMUSG00000034755",1,"Pcdh11x"
"2907","ENSMUSG00000034761",1,"Map4k5"
"2908","ENSMUSG00000034762",1,"Glis1"
"2909","ENSMUSG00000034765",1,"Dusp5"
"2910","ENSMUSG00000034783",1,"Cd207"
"2911","ENSMUSG00000034801",1,"Sos2"
"2912","ENSMUSG00000034820",1,"Cpsf7"
"2913","ENSMUSG00000034825",1,"Nrip3"
"2914","ENSMUSG00000034826",1,"Nup54"
"2915","ENSMUSG00000034855",1,"Cxcl10"
"2916","ENSMUSG00000034867",1,"Ankrd27"
"2917","ENSMUSG00000034889",1,"Cactin"
"2918","ENSMUSG00000034893",1,"Cog3"
"2919","ENSMUSG00000034928",1,"Rnf44"
"2920","ENSMUSG00000034931",1,"Dhx8"
"2921","ENSMUSG00000034932",1,"Mrpl54"
"2922","ENSMUSG00000034936",1,"Arl4d"
"2923","ENSMUSG00000034973",1,"Dop1a"
"2924","ENSMUSG00000034974",1,"Dapk3"
"2925","ENSMUSG00000034994",1,"Eef2"
"2926","ENSMUSG00000034997",1,"Htr2a"
"2927","ENSMUSG00000034998",1,"Foxn2"
"2928","ENSMUSG00000035021",1,"Baz1a"
"2929","ENSMUSG00000035027",1,"Map2k2"
"2930","ENSMUSG00000035033",1,"Tbr1"
"2931","ENSMUSG00000035042",1,"Ccl5"
"2932","ENSMUSG00000035047",1,"Kri1"
"2933","ENSMUSG00000035049",1,"Rrp12"
"2934","ENSMUSG00000035085",1,"1700020L24Rik"
"2935","ENSMUSG00000035086",1,"Becn1"
"2936","ENSMUSG00000035093",1,"Secisbp2l"
"2937","ENSMUSG00000035095",1,"Fam167a"
"2938","ENSMUSG00000035107",1,"Dcbld2"
"2939","ENSMUSG00000035109",1,"Shc4"
"2940","ENSMUSG00000035139",1,"Secisbp2"
"2941","ENSMUSG00000035150",1,"Eif2s3x"
"2942","ENSMUSG00000035152",1,"Ap2b1"
"2943","ENSMUSG00000035158",1,"Mitf"
"2944","ENSMUSG00000035161",1,"Ints6"
"2945","ENSMUSG00000035164",1,"Zc3h12c"
"2946","ENSMUSG00000035168",1,"Tanc1"
"2947","ENSMUSG00000035173",1,"Ccdc186"
"2948","ENSMUSG00000035181",1,"Heatr5a"
"2949","ENSMUSG00000035187",1,"Nkx6-1"
"2950","ENSMUSG00000035189",1,"Ano4"
"2951","ENSMUSG00000035199",1,"Arl6ip5"
"2952","ENSMUSG00000035227",1,"Spcs2"
"2953","ENSMUSG00000035234",1,"Abraxas1"
"2954","ENSMUSG00000035247",1,"Hectd1"
"2955","ENSMUSG00000035248",1,"Tut7"
"2956","ENSMUSG00000035262",1,"Amh"
"2957","ENSMUSG00000035325",1,"Sec31a"
"2958","ENSMUSG00000035329",1,"Fbxo33"
"2959","ENSMUSG00000035351",1,"Nup37"
"2960","ENSMUSG00000035354",1,"Uvrag"
"2961","ENSMUSG00000035364",1,NA
"2962","ENSMUSG00000035370",1,"Gm49322"
"2963","ENSMUSG00000035372",1,"1810055G02Rik"
"2964","ENSMUSG00000035378",1,"Shq1"
"2965","ENSMUSG00000035385",1,"Ccl2"
"2966","ENSMUSG00000035390",1,"Brsk1"
"2967","ENSMUSG00000035397",1,"Klf16"
"2968","ENSMUSG00000035399",1,"Oser1"
"2969","ENSMUSG00000035439",1,"Haus8"
"2970","ENSMUSG00000035441",1,"Myo1d"
"2971","ENSMUSG00000035443",1,"Thyn1"
"2972","ENSMUSG00000035448",1,"Ccr3"
"2973","ENSMUSG00000035476",1,"Tab3"
"2974","ENSMUSG00000035495",1,"Tstd2"
"2975","ENSMUSG00000035505",1,"Cox18"
"2976","ENSMUSG00000035528",1,"Npffr2"
"2977","ENSMUSG00000035529",1,"Prdm4"
"2978","ENSMUSG00000035530",1,"Eif1"
"2979","ENSMUSG00000035569",1,"Ankrd11"
"2980","ENSMUSG00000035572",1,"Dcaf10"
"2981","ENSMUSG00000035575",1,"Utp6"
"2982","ENSMUSG00000035597",1,"Prpf39"
"2983","ENSMUSG00000035614",1,"Togaram1"
"2984","ENSMUSG00000035632",1,"Cnot3"
"2985","ENSMUSG00000035649",1,"Zcchc7"
"2986","ENSMUSG00000035666",1,"Gtf3c4"
"2987","ENSMUSG00000035671",1,"Zswim4"
"2988","ENSMUSG00000035681",1,"Kcnc2"
"2989","ENSMUSG00000035692",1,"Isg15"
"2990","ENSMUSG00000035725",1,"Prkx"
"2991","ENSMUSG00000035726",1,"Supt16"
"2992","ENSMUSG00000035735",1,"Dagla"
"2993","ENSMUSG00000035745",1,"Grin3b"
"2994","ENSMUSG00000035754",1,"Wdr18"
"2995","ENSMUSG00000035762",1,"Tmem161b"
"2996","ENSMUSG00000035764",1,"Fbxo45"
"2997","ENSMUSG00000035770",1,"Dync1li2"
"2998","ENSMUSG00000035772",1,"Mrps2"
"2999","ENSMUSG00000035828",1,"Pim3"
"3000","ENSMUSG00000035834",1,"Polr3g"
"3001","ENSMUSG00000035840",1,"Lysmd3"
"3002","ENSMUSG00000035845",1,"Alg12"
"3003","ENSMUSG00000035851",1,"Ythdc1"
"3004","ENSMUSG00000035890",1,"Rnf126"
"3005","ENSMUSG00000035898",1,"Uba6"
"3006","ENSMUSG00000035900",1,"Gramd4"
"3007","ENSMUSG00000035929",1,"H2-Q4"
"3008","ENSMUSG00000035941",1,"Ibtk"
"3009","ENSMUSG00000035949",1,"Fbxw2"
"3010","ENSMUSG00000035960",1,"Apex1"
"3011","ENSMUSG00000035967",1,"Ints6l"
"3012","ENSMUSG00000035969",1,"Rusc2"
"3013","ENSMUSG00000035983",1,"Gm7008"
"3014","ENSMUSG00000035992",1,"Fnip1"
"3015","ENSMUSG00000036002",1,"Fam214b"
"3016","ENSMUSG00000036009",1,"Mettl25"
"3017","ENSMUSG00000036019",1,"Tmtc2"
"3018","ENSMUSG00000036022",1,"Fam122b"
"3019","ENSMUSG00000036023",1,"Parp2"
"3020","ENSMUSG00000036036",1,"Zfp57"
"3021","ENSMUSG00000036046",1,"5031439G07Rik"
"3022","ENSMUSG00000036053",1,"Fmnl2"
"3023","ENSMUSG00000036057",1,"Ptpn23"
"3024","ENSMUSG00000036061",1,"Smug1"
"3025","ENSMUSG00000036067",1,"Slc2a6"
"3026","ENSMUSG00000036087",1,"Slain2"
"3027","ENSMUSG00000036104",1,"Rab3gap1"
"3028","ENSMUSG00000036112",1,"Metap2"
"3029","ENSMUSG00000036120",1,"Rfxank"
"3030","ENSMUSG00000036136",1,"Fam110c"
"3031","ENSMUSG00000036160",1,"Surf6"
"3032","ENSMUSG00000036167",1,"Pphln1"
"3033","ENSMUSG00000036172",1,"Cd200r3"
"3034","ENSMUSG00000036180",1,"Gatad2a"
"3035","ENSMUSG00000036192",1,"Rorb"
"3036","ENSMUSG00000036197",1,"Gxylt1"
"3037","ENSMUSG00000036202",1,"Rif1"
"3038","ENSMUSG00000036208",1,"Nepro"
"3039","ENSMUSG00000036246",1,"Gmip"
"3040","ENSMUSG00000036257",1,"Pnpla8"
"3041","ENSMUSG00000036270",1,"Edc4"
"3042","ENSMUSG00000036281",1,"Snapc4"
"3043","ENSMUSG00000036282",1,"Naa30"
"3044","ENSMUSG00000036285",1,"Noa1"
"3045","ENSMUSG00000036291",1,"Ap5m1"
"3046","ENSMUSG00000036298",1,"Slc2a13"
"3047","ENSMUSG00000036299",1,"BC031181"
"3048","ENSMUSG00000036306",1,"Lzts1"
"3049","ENSMUSG00000036323",1,"Srp72"
"3050","ENSMUSG00000036327",1,"Qsox2"
"3051","ENSMUSG00000036330",1,"Slc18a1"
"3052","ENSMUSG00000036371",1,"Serbp1"
"3053","ENSMUSG00000036372",1,"Tmem258"
"3054","ENSMUSG00000036376",1,"Abt1"
"3055","ENSMUSG00000036390",1,"Gadd45a"
"3056","ENSMUSG00000036391",1,"Sec24a"
"3057","ENSMUSG00000036398",1,"Ppp1r11"
"3058","ENSMUSG00000036403",1,"Cep135"
"3059","ENSMUSG00000036422",1,"Pcdh8"
"3060","ENSMUSG00000036430",1,"Tbcc"
"3061","ENSMUSG00000036432",1,"Siah2"
"3062","ENSMUSG00000036438",1,"Calm2"
"3063","ENSMUSG00000036450",1,"Hif1an"
"3064","ENSMUSG00000036459",1,"Wtip"
"3065","ENSMUSG00000036461",1,"Elf1"
"3066","ENSMUSG00000036466",1,"Megf11"
"3067","ENSMUSG00000036478",1,"Btg1"
"3068","ENSMUSG00000036480",1,"Prss56"
"3069","ENSMUSG00000036492",1,"Rnf39"
"3070","ENSMUSG00000036499",1,"Eea1"
"3071","ENSMUSG00000036501",1,"Fam13b"
"3072","ENSMUSG00000036529",1,"Sbf1"
"3073","ENSMUSG00000036533",1,"Cdc42ep3"
"3074","ENSMUSG00000036537",1,"Rnf113a1"
"3075","ENSMUSG00000036553",1,"Sh3tc1"
"3076","ENSMUSG00000036568",1,"Bicral"
"3077","ENSMUSG00000036580",1,"Spg20"
"3078","ENSMUSG00000036585",1,"Fgf1"
"3079","ENSMUSG00000036611",1,"Eepd1"
"3080","ENSMUSG00000036613",1,"Eipr1"
"3081","ENSMUSG00000036632",1,"Alg5"
"3082","ENSMUSG00000036646",1,"Man1b1"
"3083","ENSMUSG00000036693",1,"Nop14"
"3084","ENSMUSG00000036698",1,"Ago2"
"3085","ENSMUSG00000036699",1,"Zcchc12"
"3086","ENSMUSG00000036707",1,"Cab39"
"3087","ENSMUSG00000036721",1,"Zscan12"
"3088","ENSMUSG00000036733",1,"Rbm42"
"3089","ENSMUSG00000036737",1,"Oxsr1"
"3090","ENSMUSG00000036769",1,"Wdr44"
"3091","ENSMUSG00000036779",1,"Tent4b"
"3092","ENSMUSG00000036790",1,"Slitrk2"
"3093","ENSMUSG00000036810",1,"Cnep1r1"
"3094","ENSMUSG00000036822",1,"Topors"
"3095","ENSMUSG00000036840",1,"Siah1a"
"3096","ENSMUSG00000036850",1,"Mrpl41"
"3097","ENSMUSG00000036873",1,"2410004B18Rik"
"3098","ENSMUSG00000036882",1,"Arhgap33"
"3099","ENSMUSG00000036890",1,"Gtdc1"
"3100","ENSMUSG00000036894",1,"Rap2b"
"3101","ENSMUSG00000036918",1,"Ttc7"
"3102","ENSMUSG00000036934",1,"4921524J17Rik"
"3103","ENSMUSG00000036938",1,"Try5"
"3104","ENSMUSG00000036940",1,"Kdm1a"
"3105","ENSMUSG00000036943",1,"Rab8b"
"3106","ENSMUSG00000036948",1,"Trappc14"
"3107","ENSMUSG00000036964",1,"Trim17"
"3108","ENSMUSG00000036966",1,"Spryd3"
"3109","ENSMUSG00000036985",1,"Zdhhc9"
"3110","ENSMUSG00000036990",1,"Otud4"
"3111","ENSMUSG00000036992",1,"Nxt1"
"3112","ENSMUSG00000037013",1,"Ss18"
"3113","ENSMUSG00000037014",1,"Sstr4"
"3114","ENSMUSG00000037029",1,"Zfp146"
"3115","ENSMUSG00000037033",1,"Clca3b"
"3116","ENSMUSG00000037034",1,"Pax1"
"3117","ENSMUSG00000037058",1,"Paip2"
"3118","ENSMUSG00000037062",1,"Sh3glb1"
"3119","ENSMUSG00000037070",1,"Rbmxl1"
"3120","ENSMUSG00000037071",1,"Scd1"
"3121","ENSMUSG00000037086",1,"Prr32"
"3122","ENSMUSG00000037104",1,"Socs5"
"3123","ENSMUSG00000037110",1,"Ralgapa2"
"3124","ENSMUSG00000037112",1,"Sik2"
"3125","ENSMUSG00000037119",1,"Fam91a1"
"3126","ENSMUSG00000037126",1,"Psd"
"3127","ENSMUSG00000037149",1,"Ddx1"
"3128","ENSMUSG00000037174",1,"Elf2"
"3129","ENSMUSG00000037197",1,"Rbm17"
"3130","ENSMUSG00000037214",1,"Thap1"
"3131","ENSMUSG00000037234",1,"Hook3"
"3132","ENSMUSG00000037242",1,"Clic4"
"3133","ENSMUSG00000037253",1,"Mex3c"
"3134","ENSMUSG00000037262",1,"Kin"
"3135","ENSMUSG00000037266",1,"Rsrp1"
"3136","ENSMUSG00000037270",1,"4932438A13Rik"
"3137","ENSMUSG00000037275",1,"Gemin5"
"3138","ENSMUSG00000037278",1,"Tmem97"
"3139","ENSMUSG00000037296",1,"Lsm1"
"3140","ENSMUSG00000037316",1,"Bag4"
"3141","ENSMUSG00000037326",1,"Capn15"
"3142","ENSMUSG00000037331",1,"Larp1"
"3143","ENSMUSG00000037339",1,"Fam53a"
"3144","ENSMUSG00000037343",1,"Taf2"
"3145","ENSMUSG00000037361",1,"Sf3b6"
"3146","ENSMUSG00000037369",1,"Kdm6a"
"3147","ENSMUSG00000037375",1,"Hhat"
"3148","ENSMUSG00000037376",1,"Trmt6"
"3149","ENSMUSG00000037400",1,"Atp11b"
"3150","ENSMUSG00000037405",1,"Icam1"
"3151","ENSMUSG00000037408",1,"Cnnm4"
"3152","ENSMUSG00000037411",1,"Serpine1"
"3153","ENSMUSG00000037416",1,"Dmxl1"
"3154","ENSMUSG00000037428",1,"Vgf"
"3155","ENSMUSG00000037443",1,"Cep85"
"3156","ENSMUSG00000037447",1,"Arid5a"
"3157","ENSMUSG00000037458",1,"Azin1"
"3158","ENSMUSG00000037465",1,"Klf10"
"3159","ENSMUSG00000037470",1,"Uggt1"
"3160","ENSMUSG00000037482",1,"Erv3"
"3161","ENSMUSG00000037486",1,"Asxl2"
"3162","ENSMUSG00000037519",1,"Ppfia1"
"3163","ENSMUSG00000037531",1,"Mrpl47"
"3164","ENSMUSG00000037553",1,"Zdhhc18"
"3165","ENSMUSG00000037563",1,"Rps16"
"3166","ENSMUSG00000037580",1,"Gch1"
"3167","ENSMUSG00000037601",1,"Nme1"
"3168","ENSMUSG00000037605",1,"Adgrl3"
"3169","ENSMUSG00000037613",1,"Tnfrsf23"
"3170","ENSMUSG00000037643",1,"Prkci"
"3171","ENSMUSG00000037656",1,"Slc20a2"
"3172","ENSMUSG00000037705",1,"Tecta"
"3173","ENSMUSG00000037712",1,"Fermt2"
"3174","ENSMUSG00000037722",1,"Gnpnat1"
"3175","ENSMUSG00000037740",1,"Mrps26"
"3176","ENSMUSG00000037742",1,"Eef1a1"
"3177","ENSMUSG00000037750",1,"Fam222b"
"3178","ENSMUSG00000037754",1,"Ppp1r16b"
"3179","ENSMUSG00000037762",1,"Slc16a9"
"3180","ENSMUSG00000037788",1,"Vopp1"
"3181","ENSMUSG00000037805",1,"Rpl10a"
"3182","ENSMUSG00000037808",1,"Fam76b"
"3183","ENSMUSG00000037849",1,"Ifi206"
"3184","ENSMUSG00000037851",1,"Iars"
"3185","ENSMUSG00000037868",1,"Egr2"
"3186","ENSMUSG00000037876",1,"Jmjd1c"
"3187","ENSMUSG00000037892",1,"Pcdh18"
"3188","ENSMUSG00000037896",1,"Rcor1"
"3189","ENSMUSG00000037926",1,"Ssh2"
"3190","ENSMUSG00000037933",1,"Bicd2"
"3191","ENSMUSG00000037935",1,"Smarce1"
"3192","ENSMUSG00000037940",1,"Inpp4b"
"3193","ENSMUSG00000037960",1,"Card19"
"3194","ENSMUSG00000037965",1,"Zc3h7a"
"3195","ENSMUSG00000037974",1,"Muc5ac"
"3196","ENSMUSG00000037993",1,"Dhx38"
"3197","ENSMUSG00000037996",1,"Slc24a2"
"3198","ENSMUSG00000037999",1,"Arap2"
"3199","ENSMUSG00000038000",1,"Acd"
"3200","ENSMUSG00000038002",1,"Cramp1"
"3201","ENSMUSG00000038013",1,"Wipf2"
"3202","ENSMUSG00000038014",1,"Fam120a"
"3203","ENSMUSG00000038023",1,"Atp6v0a2"
"3204","ENSMUSG00000038028",1,"Tigar"
"3205","ENSMUSG00000038037",1,"Socs1"
"3206","ENSMUSG00000038046",1,"Mrm3"
"3207","ENSMUSG00000038059",1,"Smim3"
"3208","ENSMUSG00000038069",1,"Cdkn2aip"
"3209","ENSMUSG00000038084",1,"Opa1"
"3210","ENSMUSG00000038085",1,"Cnbd2"
"3211","ENSMUSG00000038094",1,"Atp13a4"
"3212","ENSMUSG00000038095",1,"Sbno1"
"3213","ENSMUSG00000038102",1,"Trappc11"
"3214","ENSMUSG00000038121",1,"Fam210a"
"3215","ENSMUSG00000038126",1,"Mphosph9"
"3216","ENSMUSG00000038127",1,"Ccdc50"
"3217","ENSMUSG00000038141",1,"Tmem181a"
"3218","ENSMUSG00000038167",1,"Plekhg6"
"3219","ENSMUSG00000038168",1,"P3h2"
"3220","ENSMUSG00000038170",1,"Pde4dip"
"3221","ENSMUSG00000038172",1,"Ttc39b"
"3222","ENSMUSG00000038187",1,"Btbd10"
"3223","ENSMUSG00000038208",1,"Pgap3"
"3224","ENSMUSG00000038214",1,"Bend3"
"3225","ENSMUSG00000038217",1,"Tlcd2"
"3226","ENSMUSG00000038244",1,"Mical2"
"3227","ENSMUSG00000038250",1,"Usp38"
"3228","ENSMUSG00000038264",1,"Sema7a"
"3229","ENSMUSG00000038267",1,"Slc22a23"
"3230","ENSMUSG00000038274",1,"Fau"
"3231","ENSMUSG00000038279",1,"Nop2"
"3232","ENSMUSG00000038290",1,"Smg6"
"3233","ENSMUSG00000038295",1,"Atg9b"
"3234","ENSMUSG00000038296",1,"Galnt18"
"3235","ENSMUSG00000038299",1,"Wdr36"
"3236","ENSMUSG00000038300",1,"Pth2"
"3237","ENSMUSG00000038312",1,"Edem2"
"3238","ENSMUSG00000038319",1,"Kcnh2"
"3239","ENSMUSG00000038331",1,"Satb2"
"3240","ENSMUSG00000038335",1,"Tsr1"
"3241","ENSMUSG00000038342",1,"Mlxip"
"3242","ENSMUSG00000038344",1,"Txlng"
"3243","ENSMUSG00000038346",1,"Zfp384"
"3244","ENSMUSG00000038372",1,"Gmds"
"3245","ENSMUSG00000038374",1,"Rbm8a"
